model,split,epoch,train_loss,train_auc,train_f1,val_loss,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
config1,1,23,0.606199353163441,0.6898203940338457,0.3646833013435701,0.6646228111783663,0.6544036596119929,0.2046921413150866,0.1998205204905773,0.4568527918781725,0.5956720535073246,0.6433333333333333,0.5357142857142857,0.6851851851851852,0.3982300884955752,0.7914438502673797,0.6104497354497355,"[0.7914438502673797, 0.39823008849557523]","[0.6851851851851852, 0.5357142857142857]","[0.7344913151364765, 0.45685279187817257]","[0.6851851851851852, 0.5357142857142857]"
config1,2,13,0.6312517990387617,0.6410261665641868,0.2936170212765957,0.6735340185463429,0.6248488180318856,0.1655493715284546,0.1649472784269022,0.3875,0.5818778538812786,0.6722408026755853,0.3647058823529411,0.794392523364486,0.4133333333333333,0.7589285714285714,0.5795492028587136,"[0.7589285714285714, 0.41333333333333333]","[0.794392523364486, 0.36470588235294116]","[0.776255707762557, 0.3875]","[0.794392523364486, 0.36470588235294116]"
config1,3,57,0.4142073849510532,0.8644002675768856,0.719626168224299,0.8506243778580187,0.596482683982684,0.12823400303114,0.1280777299326487,0.3764705882352941,0.5638221485777409,0.6442953020134228,0.3636363636363636,0.7619047619047619,0.3902439024390244,0.7407407407407407,0.5627705627705628,"[0.7407407407407407, 0.3902439024390244]","[0.7619047619047619, 0.36363636363636365]","[0.7511737089201878, 0.3764705882352941]","[0.7619047619047619, 0.36363636363636365]"
config1,4,31,0.5547154736160036,0.7608665792166586,0.5315161839863713,0.6928932036157527,0.6547080370609782,0.2566497499717667,0.2553136806394407,0.4751381215469613,0.6268464500508699,0.6885245901639344,0.5119047619047619,0.755656108597285,0.4432989690721649,0.8028846153846154,0.6337804352510235,"[0.8028846153846154, 0.44329896907216493]","[0.755656108597285, 0.5119047619047619]","[0.7785547785547785, 0.47513812154696133]","[0.755656108597285, 0.5119047619047619]"
config1,5,13,0.6265209313736184,0.6476953416371197,0.2845010615711252,0.7447999399280388,0.6431074766355139,0.2081227276370161,0.202491121004452,0.4623115577889447,0.5963950736047998,0.6409395973154363,0.5476190476190477,0.677570093457944,0.4,0.7923497267759563,0.6125945705384959,"[0.7923497267759563, 0.4]","[0.677570093457944, 0.5476190476190477]","[0.7304785894206549, 0.4623115577889447]","[0.677570093457944, 0.5476190476190477]"
config2,1,20,0.5805905658751727,0.7296385690242013,0.4401408450704225,0.7375791132450104,0.5953207671957672,0.1533525098164104,0.1352201257861635,0.45,0.5416666666666666,0.56,0.6428571428571429,0.5277777777777778,0.3461538461538461,0.7916666666666666,0.5853174603174603,"[0.7916666666666666, 0.34615384615384615]","[0.5277777777777778, 0.6428571428571429]","[0.6333333333333333, 0.45]","[0.5277777777777778, 0.6428571428571429]"
config2,2,18,0.5907222506111355,0.7167349866775979,0.4362292051756007,0.7516072771449884,0.5417262231995602,0.0378111923174694,0.037778088708549,0.303030303030303,0.5187206942403247,0.6153846153846154,0.2941176470588235,0.7429906542056075,0.3125,0.726027397260274,0.5185541506322155,"[0.726027397260274, 0.3125]","[0.7429906542056075, 0.29411764705882354]","[0.7344110854503464, 0.30303030303030304]","[0.7429906542056075, 0.29411764705882354]"
config2,3,39,0.3730139459193546,0.9063412291384368,0.7583081570996979,0.8630053568506401,0.5918831168831169,0.103409510142672,0.1013058499736488,0.326797385620915,0.5471458711400287,0.6543624161073825,0.2840909090909091,0.8095238095238095,0.3846153846153846,0.7296137339055794,0.5468073593073594,"[0.7296137339055794, 0.38461538461538464]","[0.8095238095238095, 0.2840909090909091]","[0.7674943566591422, 0.32679738562091504]","[0.8095238095238095, 0.2840909090909091]"
config2,4,36,0.4140278642006642,0.8863104109005749,0.6992592592592592,0.8558277710054825,0.5950764921353157,0.1419684941684987,0.1418940439537106,0.3837209302325581,0.5708558989062333,0.6524590163934426,0.3928571428571428,0.751131221719457,0.375,0.7649769585253456,0.5719941822882999,"[0.7649769585253456, 0.375]","[0.751131221719457, 0.39285714285714285]","[0.7579908675799086, 0.38372093023255816]","[0.751131221719457, 0.39285714285714285]"
config2,5,35,0.4690861210301394,0.8393295663161912,0.640746500777605,0.7977339204075753,0.6183522474410326,0.1605149232089846,0.1409268958232471,0.4564315352697095,0.5437087253813336,0.5604026845637584,0.6547619047619048,0.5233644859813084,0.3503184713375796,0.7943262411347518,0.5890631953716066,"[0.7943262411347518, 0.3503184713375796]","[0.5233644859813084, 0.6547619047619048]","[0.6309859154929578, 0.45643153526970953]","[0.5233644859813084, 0.6547619047619048]"
