Ensemble,Folds,Avg_Train_AUC,Avg_Train_F1,Avg_Val_AUC,Avg_Val_MCC,Avg_Val_Kappa,Avg_Val_F1_Binary,Avg_Val_F1_Macro,Avg_Val_Accuracy,Avg_Val_BalancedAccuracy,Avg_Val_Sensitivity,Avg_Val_Specificity,Avg_Val_PPV,Avg_Val_NPV,Avg_Per_Class_Precision,Avg_Per_Class_Recall,Avg_Per_Class_F1,Avg_Per_Class_Accuracy
Random Forest + KNN + Random Forest,2,0.948267258561279,0.8488274813030803,0.7329171024973693,0.20453602188401293,0.17316778950937328,0.3025608635737253,0.5659716562049142,0.7259929492205208,0.5709909565009561,0.21244240652135388,0.9295395064805583,0.5488664215686274,0.7491448003184649,"0.749, 0.549","0.930, 0.212","0.829, 0.303","0.930, 0.212"
Random Forest + KNN + Gradient Boosting,2,0.9478709116921065,0.8329051293729217,0.7465278688787438,0.26219998134002276,0.2258679922438242,0.35426354880655897,0.5959783727490982,0.7406811842322811,0.593192253659454,0.25218190678716995,0.9342026005317381,0.6118069145466406,0.7596004139649046,"0.760, 0.612","0.934, 0.252","0.838, 0.354","0.934, 0.252"
Gradient Boosting + KNN + Random Forest,2,0.9477807928987043,0.8073440289387989,0.7404817756621447,0.20065410774211725,0.16701736169450748,0.2911581038887312,0.5605515020937224,0.7259876158018528,0.5682833308840977,0.20326067694488748,0.9333059848233078,0.553045013239188,0.747821253890618,"0.748, 0.553","0.933, 0.203","0.830, 0.291","0.933, 0.203"
Gradient Boosting + KNN + Gradient Boosting,2,0.9473844460295318,0.7914216770086403,0.7525580467258903,0.2431297237991332,0.21025269136581703,0.34387980269989615,0.5884753674792174,0.7340250777345771,0.5871897172870897,0.2475522771575403,0.9268271574166389,0.5853174603174603,0.7570301034263593,"0.757, 0.585","0.927, 0.248","0.833, 0.344","0.927, 0.248"
KNN + Random Forest + Random Forest,2,0.9405655657092624,0.8413978494623656,0.7341063714707767,0.2051072969843568,0.16468545937400736,0.2783835061978244,0.556103477194108,0.7299770129655407,0.5659456566283783,0.18659179514442673,0.9452995181123297,0.5771466905187835,0.7462168196477301,"0.746, 0.577","0.945, 0.187","0.834, 0.278","0.945, 0.187"
KNN + Random Forest + Gradient Boosting,2,0.9401692188400899,0.8254754975322072,0.7469845120112519,0.23416996004068313,0.19698972120159103,0.31961358313817334,0.5776175944831876,0.7353104316335728,0.5803162059873013,0.2218567251461988,0.9387756868284036,0.5911458333333333,0.7532252061925742,"0.753, 0.591","0.939, 0.222","0.836, 0.320","0.939, 0.222"
KNN + Gradient Boosting + Random Forest,2,0.9394694951202207,0.8099767040061323,0.7362694433632571,0.21913337698893837,0.18259045794071643,0.30125361620057856,0.5678987623228344,0.7326223886248846,0.5743408950006264,0.20804536594010278,0.9406364240611499,0.5773809523809523,0.7504212675693356,"0.750, 0.577","0.941, 0.208","0.835, 0.301","0.941, 0.208"
KNN + Gradient Boosting + Gradient Boosting,2,0.9390731482510484,0.794054352075974,0.746129044185988,0.23545045281342566,0.19675051729634635,0.3170645069622052,0.5766541746633687,0.7359744422577428,0.5801391830069776,0.21961944001417688,0.9406589259997784,0.5969931271477663,0.753107581567082,"0.753, 0.597","0.941, 0.220","0.836, 0.317","0.941, 0.220"
Random Forest + Logistic Regression + Random Forest,2,0.9242404811641303,0.855527100586468,0.7655076180922253,0.3222275123440428,0.3079952268891036,0.4591122464212849,0.6482204809880856,0.7499719995519929,0.6375549899234602,0.3772705121389332,0.8978394677079871,0.5936106155218555,0.7849040682064075,"0.785, 0.594","0.898, 0.377","0.837, 0.459","0.898, 0.377"
Random Forest + Logistic Regression + Gradient Boosting,2,0.9238441342949577,0.8396047486563094,0.7763918078619989,0.35296248118493284,0.34196036869552204,0.4942268630434279,0.6672815634109854,0.757345450860547,0.6553152198883591,0.41924729753677126,0.8913831422399467,0.6065859092174881,0.7951837276850918,"0.795, 0.607","0.891, 0.419","0.840, 0.494","0.891, 0.419"
Gradient Boosting + Logistic Regression + Random Forest,2,0.9237540155015556,0.8140436482221866,0.7688581027375864,0.286331563110908,0.27200017978326135,0.42618241510208266,0.6286717696381536,0.7392838285412566,0.6210412365044684,0.3470228601807549,0.895059612828182,0.5639619883040936,0.7764367681407357,"0.776, 0.564","0.895, 0.347","0.831, 0.426","0.895, 0.347"
